,Macro Index,hawkish,dovish
2005-06-01,-0.11421192761325427,-1.8916430035849916,1.9772383632842518
2005-07-01,0.06908621402364856,0.6872911086272572,-2.0310096011589946
2005-08-01,0.054199737200051334,-0.052725773624541145,0.1242324019937634
2005-09-01,-0.3733368358389426,-1.3093073414159542,0.0
2005-10-01,-0.11574709329081667,0.0,0.12459637910372895
2005-11-01,-0.24815283743195726,2.8372665208885373,0.0
2005-12-01,0.05280611338857044,-2.189838922983146,0.0
2006-01-01,0.5775532460289754,0.5527707983925666,0.0
2006-02-01,-0.4689117159443712,0.4380187953915664,0.0
2006-03-01,0.170738901430306,-0.5840250605220886,0.0
2006-04-01,0.03797371407782224,0.14600626513052214,0.1394992846940244
2006-05-01,0.0712672142853501,-0.5527707983925664,0.0
2006-06-01,-0.33070457566088995,0.0,0.0
